,centro_nro_registro,centro_tipo,alergologia,cardiologia,cirugia_mayor_ambulatoria,cirugia_menor_ambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicina_general,neumologia,neurologia,nutricion_y_dietetica,oncologia,otorrinolaringologia,pediatria,psicologia_clinica,psiquiatria,rehabilitacion,reumatologia,urgencias,vacunacion,direccion_completa,direccion_vial_tipo,direccion_vial_nombre,direccion_vial_nro,direccion_codigo_postal,municipio_nombre,localizacion_coordenada_x,localizacion_coordenada_y
3853,CS18653,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,,,CS18653,,,,,,Calle del Príncipe de Vergara 118 28002 Madrid,Calle,del Príncipe de Vergara,118,28002.0,Madrid,442462.0,4476874.0
3854,CS18654,Consulta de otros profesionales sanitarios,,,,,,,,,CS18654,,,,,,,,,,,,,,Calle de Manuel Silvela 16 28010 Madrid,Calle,de Manuel Silvela,16,28010.0,Madrid,440707.0,4475780.0
3855,CS18657,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS18657,,,,,,,,,,,,,,,,Calle de Arganda 25 28005 Madrid,Calle,de Arganda,25,28005.0,Madrid,440166.0,4472341.0
3856,CS18659,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,CS18659,,,,,,,,,,,,,,,,Calle de Anoeta 28 28041 Madrid,Calle,de Anoeta,28,28041.0,Madrid,440567.0,4467153.0
3857,CS18665,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,,CS18665,,,,,,,,,,,,,Calle Barberán y Collar 6 28805 Alcalá de Henares,Calle,Barberán y Collar,6,28805.0,Alcalá de Henares,470559.0,4483424.0
3858,CS18667,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS18667,,,,,,,,,,,,,,Avda del Ensanche de Vallecas 37 28051 Madrid,Avda,del Ensanche de Vallecas,37,28051.0,Madrid,448379.0,4468810.0
3859,CS18670,Consulta de otros profesionales sanitarios,,,,,,,,,CS18670,,,,,,,,,,,,,,Calle de Postas 43 28300 Aranjuez,Calle,de Postas,43,28300.0,Aranjuez,448422.0,4431377.0
3860,CS18673,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,CS18673,,,,,,,,,,,,,,Calle Barcelona 28 28937 Móstoles,Calle,Barcelona,28,28937.0,Móstoles,427297.0,4464187.0
3861,CS18674,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS18674,,,CS18674,,,,,,,,,,,,,Avda de las Palmeras 20 28350 Ciempozuelos,Avda,de las Palmeras,20,28350.0,Ciempozuelos,445967.0,4445036.0
3862,CS18676,Consulta de otros profesionales sanitarios,,,,,,,,,CS18676,,,,,,,,,,,,,,Calle de Albalá 9 28037 Madrid,Calle,de Albalá,9,28037.0,Madrid,447543.0,4476384.0
3863,CS18677,Consulta de otros profesionales sanitarios,,,,,,,,,CS18677,,,,,,,,,,,,,,Calle Navarra 1 28320 Pinto,Calle,Navarra,1,28320.0,Pinto,440678.0,4455607.0
3864,CS18678,Consulta de otros profesionales sanitarios,,,,,,,,,CS18678,,,,,,,,,,,,,,Avda de José Antonio Corrales 5 28055 Madrid,Avda,de José Antonio Corrales,5,28055.0,Madrid,447864.0,4481890.0
3865,CS18682,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS18682,,,,,,,,,,,,,,Calle del Lago Titicaca 8 28032 Madrid,Calle,del Lago Titicaca,8,28032.0,Madrid,448356.0,4472592.0
3866,CS18685,Consulta de otros profesionales sanitarios,,,,,,,,,CS18685,,,,,,,,,,,,,,Paseo de Santa María de la Cabeza 39 28045 Madrid,Paseo,de Santa María de la Cabeza,39,28045.0,Madrid,440846.0,4472727.0
3867,CS18687,Consulta de otros profesionales sanitarios,,,,,,,,,CS18687,,,,,,,,,,,,,,Calle de la Drácena 15 28016 Madrid,Calle,de la Drácena,15,28016.0,Madrid,443050.0,4479385.0
3868,CS18688,Consulta médica,,,,,,,CS18688,,,,,,,,,,,,,,,,Calle de Santa Leonor 19 28037 Madrid,Calle,de Santa Leonor,19,28037.0,Madrid,446416.0,4476571.0
3869,CS18694,Consulta de otros profesionales sanitarios,,,,,,,,,CS18694,,,,,,,,,,,,,,Paseo del Pintor Rosales 76 28008 Madrid,Paseo,del Pintor Rosales,76,28008.0,Madrid,438583.0,4475929.0
3870,CS18695,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS18695,,,CS18695,,,,,,,,,,,,,Calle de los Pajaritos 17 28007 Madrid,Calle,de los Pajaritos,17,28007.0,Madrid,443013.0,4472686.0
3871,CS18697,Consulta de otros profesionales sanitarios,,,,,,,,,CS18697,,,,,,,,,,,,,,Calle Federico García Lorca 9 28806 Alcalá de Henares,Calle,Federico García Lorca,9,28806.0,Alcalá de Henares,468556.0,4483836.0
3872,CS18698,Consulta de otros profesionales sanitarios,,,,,,,,,CS18698,,,,,,,,,,,,,,Calle de Vicente Aleixandre 1 28922 Alcorcón,Calle,de Vicente Aleixandre,1,28922.0,Alcorcón,429325.0,4465586.0
3873,CS18701,Consulta de otros profesionales sanitarios,,,,,,,,,CS18701,,,,,,,,,,,,,,Calle de Chipre 2 28760 Tres Cantos,Calle,de Chipre,2,28760.0,Tres Cantos,438894.0,4497002.0
3874,CS18702,Consulta de otros profesionales sanitarios,,,,,,,,,CS18702,,,,,,,,,,,,,,Avda de León 1 28804 Alcalá de Henares,Avda,de León,1,28804.0,Alcalá de Henares,470994.0,4481918.0
3875,CS18703,Consulta de otros profesionales sanitarios,,,,,,,,,CS18703,,,,,,,,,,,,,,Calle Valladolid 2 28804 Alcalá de Henares,Calle,Valladolid,2,28804.0,Alcalá de Henares,470503.0,4481687.0
3876,CS18704,Otros centros especializados,,,,,,,,,,,,,,,,,,CS18704,,,,,Calle de Palos de la Frontera 25 28045 Madrid,Calle,de Palos de la Frontera,25,28045.0,Madrid,441035.0,4472750.0
3877,CS18705,Consulta de otros profesionales sanitarios,,,,,,,,,CS18705,,,,,,,,,,,,,,Calle de Eusebio Guadalix 26 28792 Miraflores de la Sierra,Calle,de Eusebio Guadalix,26,28792.0,Miraflores de la Sierra,435402.0,4518306.0
3878,CS18706,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,CS18706,,,CS18706,,,,,,,,,,,,,Calle de Fernández de la Hoz 48 28010 Madrid,Calle,de Fernández de la Hoz,48,28010.0,Madrid,441087.0,4476381.0
3879,CS18713,Consulta de otros profesionales sanitarios,,,,,,,,,CS18713,,,,,,,,,,,,,,Calle de Francos Rodríguez 25 28039 Madrid,Calle,de Francos Rodríguez,25,28039.0,Madrid,440172.0,4478661.0
3880,CS18715,Centro Polivalente,,,,,,,CS18715,,,CS18715,,CS18715,,,,,,,,,,,Calle de Almagro 34 28010 Madrid,Calle,de Almagro,34,28010.0,Madrid,441279.0,4475799.0
3881,CS18719,Centro Polivalente,,,,,,,CS18719,,,,,,,,,,,CS18719,,,,,Calle de la Clínica 3 28701 San Sebastián de los Reyes,Calle,de la Clínica,3,28701.0,San Sebastián de los Reyes,446943.0,4488612.0
3882,CS18720,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS18720,,,CS18720,,,,,,,,CS18720,,,,,"Ctra Meco KM. 4,5 28805 Alcalá de Henares",Ctra,Meco,"KM. 4,5",28805.0,Alcalá de Henares,470984.0,4486178.0
3883,CS18722,Consulta de otros profesionales sanitarios,,,,,,,,,CS18722,,,,,,,,,,,,,,Avda Alcalde José Aranda 51 28924 Alcorcón,Avda,Alcalde José Aranda,51,28924.0,Alcorcón,430673.0,4466904.0
3884,CS18725,Centro móvil de asistencia sanitaria,,,,,,,CS18725,,,,,,,,,,,,,,,,Calle de Torre de Don Miguel 26 28031 Madrid,Calle,de Torre de Don Miguel,26,28031.0,Madrid,445291.0,4469218.0
3885,CS18726,Consulta de otros profesionales sanitarios,,,,,,,,,CS18726,,,,,,,,,,,,,,Calle de Villaescusa 56 28017 Madrid,Calle,de Villaescusa,56,28017.0,Madrid,446579.0,4474602.0
3886,CS18727,Consulta de otros profesionales sanitarios,,,,,,,,,CS18727,,,,,,,,,,,,,,Calle Maestro Chueca 9 28904 Getafe,Calle,Maestro Chueca,9,28904.0,Getafe,437185.0,4462548.0
3887,CS18729,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS18729,,CS18729,CS18729,,,,,,,,,,,,,Calle de las Cerilleras 7 28054 Madrid,Calle,de las Cerilleras,7,28054.0,Madrid,438237.0,4469300.0
3888,CS18732,Centro Polivalente,CS18732,,,,CS18732,,CS18732,,CS18732,CS18732,,CS18732,,,,CS18732,,CS18732,,,,,Avda del Santuario de Valverde 1 28049 Madrid,Avda,del Santuario de Valverde,1,28049.0,Madrid,439908.0,4483935.0
3889,CS18735,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS18735,,,,,,,,,,,,,,Calle de Víctor Andrés Belaúnde 6 28016 Madrid,Calle,de Víctor Andrés Belaúnde,6,28016.0,Madrid,442426.0,4478450.0
3890,CS18741,Servicio sanitario integrado en una organización no sanitaria,,,,CS18741,,,,,,,,,,,,,,,,,,,Calle Rafael 5 28342 Valdemoro,Calle,Rafael,5,28342.0,Valdemoro,441755.0,4449850.0
3891,CS18744,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS18744,,CS18744,CS18744,,,,,,,,,,,,,Calle de Oña 3 28050 Madrid,Calle,de Oña,3,28050.0,Madrid,443301.0,4482225.0
3892,CS18747,Centro Polivalente,,,,,,CS18747,,,CS18747,CS18747,,,,,,,,,,,,,Calle del Conde de Aranda 14 28001 Madrid,Calle,del Conde de Aranda,14,28001.0,Madrid,441756.0,4474785.0
3893,CS18748,Consulta de otros profesionales sanitarios,,,,,,,,,CS18748,,,,,,,,,,,,,,Calle de Jesús Aprendiz 11 28007 Madrid,Calle,de Jesús Aprendiz,11,28007.0,Madrid,443085.0,4473528.0
3894,CS18754,Consulta de otros profesionales sanitarios,,,,,,,,,CS18754,,,,,,,,,,,,,,Paseo de la Chopera 38 28100 Alcobendas,Paseo,de la Chopera,38,28100.0,Alcobendas,445942.0,4487814.0
3895,CS18756,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,CS18756,CS18756,,,,,,,,,,,,,Paseo de la Democracia 10 28850 Torrejón de Ardoz,Paseo,de la Democracia,10,28850.0,Torrejón de Ardoz,462589.0,4478979.0
3896,CS18757,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS18757,,,,,,,,,,,,,,Calle Castillo de Alarcón 47 28692 Villanueva de la Cañada,Calle,Castillo de Alarcón,47,28692.0,Villanueva de la Cañada,420279.0,4480721.0
3897,CS18758,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS18758,,,,,,,,,,,,,,Calle Bretón 2 28806 Alcalá de Henares,Calle,Bretón,2,28806.0,Alcalá de Henares,468011.0,4482029.0
3898,CS18773,Consulta de otros profesionales sanitarios,,,,,,,,,CS18773,,,,,,,,,,,,,,Calle del Pintor Murillo 6 28933 Móstoles,Calle,del Pintor Murillo,6,28933.0,Móstoles,426308.0,4464562.0
3899,CS18776,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS18776,,CS18776,CS18776,,,,,,,,,,,,,Calle de Francisco Chico Mendes 8 28108 Alcobendas,Calle,de Francisco Chico Mendes,8,28108.0,Alcobendas,444637.0,4485955.0
3900,CS18778,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS18778,,CS18778,CS18778,,,,,,,,,,,,,Ctra de Canto Blanco 3 28049 Madrid,Ctra,de Canto Blanco,3,28049.0,Madrid,441159.0,4487857.0
3901,CS18779,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS18779,,,,,,,,,,,,,,Paseo de los Melancólicos 11 28005 Madrid,Paseo,de los Melancólicos,11,28005.0,Madrid,439014.0,4473416.0
3902,CS18780,Consulta médica,,,,,,,,,,CS18780,,,,,,,,,,,,,Calle de Francisco Navacerrada 36 28028 Madrid,Calle,de Francisco Navacerrada,36,28028.0,Madrid,443355.0,4475824.0
3903,CS18781,Consulta de otros profesionales sanitarios,,,,,,,,,CS18781,,,,,,,,,,,,,,Calle del Doctor Enrique Alcorta 25 28891 Velilla de San Antonio,Calle,del Doctor Enrique Alcorta,25,28891.0,Velilla de San Antonio,458937.0,4468325.0
3904,CS18784,Consulta médica,,,,,,,,,,CS18784,,,,,,,,,,,,,Avda de Alberto Alcocer 33 28036 Madrid,Avda,de Alberto Alcocer,33,28036.0,Madrid,442159.0,4478910.0
3905,CS18785,Centro Polivalente,,,,,,,,,CS18785,,,,,,,,,,CS18785,,,,Calle del Doctor Esquerdo 140 28007 Madrid,Calle,del Doctor Esquerdo,140,28007.0,Madrid,443009.0,4472951.0
3906,CS18788,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS18788,CS18788,,,,,,,,,,,,,Paseo de los Melancólicos 14 28005 Madrid,Paseo,de los Melancólicos,14,28005.0,Madrid,438842.0,4473099.0
3907,CS18790,Consulta de otros profesionales sanitarios,,,,,,,CS18790,,CS18790,,,,,,,,,,,,,,Calle de la Fuente 9 28939 Arroyomolinos,Calle,de la Fuente,9,28939.0,Arroyomolinos,421790.0,4458089.0
3908,CS18791,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,,CS18791,,,,,,,,,,,,,Calle de Osiris 13 28037 Madrid,Calle,de Osiris,13,28037.0,Madrid,447640.0,4476916.0
3909,CS18793,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS18793,,CS18793,CS18793,,,,,,,,,,,,,Calle de la Virgen del Mar S/N 28820 Coslada,Calle,de la Virgen del Mar,S/N,28820.0,Coslada,452058.0,4475421.0
3910,CS18801,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS18801,CS18801,,,,,,,,,,,,,Paseo de la Castellana 50 28046 Madrid,Paseo,de la Castellana,50,28046.0,Madrid,441647.0,4476291.0
3911,CS18802,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS18802,,,,,,,,,,,,,,Calle de Eloy Gonzalo 10 28010 Madrid,Calle,de Eloy Gonzalo,10,28010.0,Madrid,440364.0,4476134.0
3912,CS18808,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,CS18808,,,,,,,,,,,,,,Avda del Siglo XXI 13 28660 Boadilla del Monte,Avda,del Siglo XXI,13,28660.0,Boadilla del Monte,423551.0,4473302.0
3913,CS18809,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,CS18809,,CS18809,CS18809,,,,,,,,,,,,,Avda del Ventisquero de la Condesa 16 28035 Madrid,Avda,del Ventisquero de la Condesa,16,28035.0,Madrid,439303.0,4482141.0
3914,CS18814,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,CS18814,,,,,,,,,,,,,,,,Calle de Manuel de Falla 8 28036 Madrid,Calle,de Manuel de Falla,8,28036.0,Madrid,441696.0,4478493.0
3915,CS18817,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,CS18817,,,,,,,,,,,,,,Calle de Panamá 10 28036 Madrid,Calle,de Panamá,10,28036.0,Madrid,441664.0,4478641.0
3916,CS18819,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,CS18819,CS18819,,,,,,,,,,,,,Calle de Génova 12 28004 Madrid,Calle,de Génova,12,28004.0,Madrid,441089.0,4475363.0
3917,CS18822,Consulta de otros profesionales sanitarios,,,,,,,,,CS18822,,,,,,,,,,,,,,Calle de Padilla 61 28006 Madrid,Calle,de Padilla,61,28006.0,Madrid,442884.0,4475832.0
3918,CS18824,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,CS18824,,CS18824,,,,,,,,,,,,,,Calle de José Bergamín 12 28030 Madrid,Calle,de José Bergamín,12,28030.0,Madrid,445849.0,4473498.0
3919,CS18825,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS18825,,,,,,,,,,,,,,,,Plaza Obispo Felipe Scio Riaza 1 28901 Getafe,Plaza,Obispo Felipe Scio Riaza,1,28901.0,Getafe,437821.0,4462089.0
3920,CS18834,Consulta de otros profesionales sanitarios,,,,,,,,,CS18834,,,,,,,,,,,,,,Calle de Peñalara 2 28224 Pozuelo de Alarcón,Calle,de Peñalara,2,28224.0,Pozuelo de Alarcón,431928.0,4478802.0
3921,CS18839,Consulta de otros profesionales sanitarios,,,,,,,,,CS18839,,,,,,,,,,,,,,Calle Giralda 6 28903 Getafe,Calle,Giralda,6,28903.0,Getafe,439311.0,4463314.0
3922,CS18840,Centro de reconocimiento,,,,,,,,,,CS18840,,,,,,,,,,,,,Calle de Hortaleza 65 28004 Madrid,Calle,de Hortaleza,65,28004.0,Madrid,440775.0,4475125.0
3923,CS18841,Consulta de otros profesionales sanitarios,,,,,,,,,CS18841,,,,,,,,,,,,,,Plaza Puerta del Vado 3 28803 Alcalá de Henares,Plaza,Puerta del Vado,3,28803.0,Alcalá de Henares,468918.0,4480781.0
3924,CS18844,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,,CS18844,,,,,,,,,,,,,Calle de Antonio Flores 4 28004 Madrid,Calle,de Antonio Flores,4,28004.0,Madrid,440783.0,4475460.0
3925,CS18845,Centro Polivalente,CS18845,,,,,,,,,,,,,,,,,,,,,,Plaza de Venecia 2 28028 Madrid,Plaza,de Venecia,2,28028.0,Madrid,443802.0,4476889.0
3926,CS18846,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,CS18846,CS18846,,,,,,,,,,,,,Calle de Navalmoral de la Mata 14 28044 Madrid,Calle,de Navalmoral de la Mata,14,28044.0,Madrid,434026.0,4469751.0
3927,CS18847,Consulta de otros profesionales sanitarios,,,,,,,,,CS18847,,,,,,,,,,,,,,Calle de las Cuatro Calles 3 28750 San Agustín del Guadalix,Calle,de las Cuatro Calles,3,28750.0,San Agustín del Guadalix,447872.0,4503365.0
3928,CS18849,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS18849,,CS18849,CS18849,,,,,,,,,,,,,Calle de la Comunidad Canaria 1 28669 Boadilla del Monte,Calle,de la Comunidad Canaria,1,28669.0,Boadilla del Monte,425733.0,4477295.0
3929,CS18851,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,,CS18851,,,,,,,,,,,,,Calle Severo Ochoa 21 28910 Getafe,Calle,Severo Ochoa,21,28910.0,Getafe,442209.0,4459250.0
3930,CS18852,Consulta de otros profesionales sanitarios,,,,,,,,,CS18852,,,,,,,,,,,,,,Calle Martin Luther King 9 28922 Alcorcón,Calle,Martin Luther King,9,28922.0,Alcorcón,429309.0,4464551.0
3931,CS18856,Consulta de otros profesionales sanitarios,,,,,,,,,CS18856,,,,,,,,,,,,,,Calle Planeta Venus 4 28983 Parla,Calle,Planeta Venus,4,28983.0,Parla,435350.0,4453322.0
3932,CS18857,Centro Polivalente,,,,,,,CS18857,,CS18857,CS18857,,,,,,,,,,,,,Calle de Espronceda 31 28003 Madrid,Calle,de Espronceda,31,28003.0,Madrid,441041.0,4476894.0
3933,CS18858,Centro Polivalente,CS18858,,,,,,,,CS18858,CS18858,,,,,,,,,,,,,Calle Aquilón 2 28223 Pozuelo de Alarcón,Calle,Aquilón,2,28223.0,Pozuelo de Alarcón,432384.0,4473595.0
3934,CS18860,Otros centros especializados,,,,CS18860,,,,,,,,,,,,,,,,,,,Calle de Hermosilla 161 28028 Madrid,Calle,de Hermosilla,161,28028.0,Madrid,443487.0,4475200.0
3935,CS18861,Centro Polivalente,,,,,,,CS18861,,,,,,,,,,,,,,,,Calle de Serrano Anguita 12 28004 Madrid,Calle,de Serrano Anguita,12,28004.0,Madrid,440759.0,4475462.0
3936,CS18862,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS18862,,CS18862,CS18862,,,,,,,,,,,,,Avda de Castilla 2 28830 San Fernando de Henares,Avda,de Castilla,2,28830.0,San Fernando de Henares,456703.0,4478068.0
3937,CS18865,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,CS18865,CS18865,,,,,,,,,,,,,Calle José Hierro 8 28702 San Sebastián de los Reyes,Calle,José Hierro,8,28702.0,San Sebastián de los Reyes,447944.0,4490353.0
3938,CS18866,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,CS18866,,,CS18866,,,,,,CS18866,,,,,,,Calle de Ramonet 4 28033 Madrid,Calle,de Ramonet,4,28033.0,Madrid,443593.0,4480022.0
3939,CS18868,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS18868,,,,,,,,,,,,,,Ronda de Segovia 71 28005 Madrid,Ronda,de Segovia,71,28005.0,Madrid,439442.0,4473252.0
3940,CS1887,Centro Polivalente,CS1887,CS1887,,CS1887,CS1887,CS1887,CS1887,,,CS1887,CS1887,,,,CS1887,,,,CS1887,,,,Calle del Pintor Velázquez 27 28935 Móstoles,Calle,del Pintor Velázquez,27,28935.0,Móstoles,425896.0,4464808.0
3941,CS18871,Consulta de otros profesionales sanitarios,,,,,,,,,CS18871,,,,,,,,,,,,,,Calle de la Isla de Oza 59 28035 Madrid,Calle,de la Isla de Oza,59,28035.0,Madrid,438810.0,4479522.0
3942,CS18874,Centro Polivalente,,,,,,,,,CS18874,,,CS18874,,,,,CS18874,CS18874,,,,,Calle de Raimundo Fernández Villaverde 57 28003 Madrid,Calle,de Raimundo Fernández Villaverde,57,28003.0,Madrid,440963.0,4477650.0
3943,CS18875,Consulta de otros profesionales sanitarios,,,,,,,,,CS18875,,,,,,,,,,,,,,"Calle Manuel López Paraíso 6 28231 Rozas de Madrid, Las",Calle,Manuel López Paraíso,6,28231.0,"Rozas de Madrid, Las",426298.0,4482832.0
3944,CS18876,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS18876,,,,,,,,,,,,,,Calle de Bretón de los Herreros 41 28003 Madrid,Calle,de Bretón de los Herreros,41,28003.0,Madrid,440898.0,4476781.0
3945,CS18878,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS18878,,,,,,,,,,,,,,Trva del Caño 3 28023 Madrid,Trva,del Caño,3,28023.0,Madrid,433361.0,4478961.0
3946,CS18879,Consulta de otros profesionales sanitarios,,,,,,,,,CS18879,,,,,,,,,,,,,,Calle de Chile 6 28016 Madrid,Calle,de Chile,6,28016.0,Madrid,442690.0,4478549.0
3947,CS18881,Centro Polivalente,,,,,,,CS18881,,CS18881,CS18881,,,,,,,,,,,,,Calle de Bahía de Almería 5 28042 Madrid,Calle,de Bahía de Almería,5,28042.0,Madrid,449911.0,4479248.0
3948,CS18882,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,CS18882,,,,,,,,CS18882,,,,,,Calle del Duque de Sesto 31 28009 Madrid,Calle,del Duque de Sesto,31,28009.0,Madrid,442749.0,4474878.0
3949,CS18884,Consulta de otros profesionales sanitarios,,,,,,,,,CS18884,,,,,,,,,,,,,,Calle Júpiter 111 28341 Valdemoro,Calle,Júpiter,111,28341.0,Valdemoro,441935.0,4447837.0
3950,CS18885,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS18885,,,,,,,,,,,,,,Calle de la Virgen de la Alegría 10 28027 Madrid,Calle,de la Virgen de la Alegría,10,28027.0,Madrid,444276.0,4476068.0
3951,CS18887,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS18887,,,,,,,,,,,,,,Paseo de la Reina Cristina 11 28014 Madrid,Paseo,de la Reina Cristina,11,28014.0,Madrid,442086.0,4473162.0
3952,CS18889,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS18889,,,,,,,,,,,,,,Calle de Menéndez Pidal 16 28660 Boadilla del Monte,Calle,de Menéndez Pidal,16,28660.0,Boadilla del Monte,442185.0,4479223.0
3953,CS18892,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,,CS18892,,,,,,,,,,,,,Cmno de las Hormigueras 169 28031 Madrid,Cmno,de las Hormigueras,169,28031.0,Madrid,446181.0,4469815.0
3954,CS18894,Consulta de otros profesionales sanitarios,,,,,,,,,CS18894,,,,,,,,,,,,,,Calle de Apodaca 22 28004 Madrid,Calle,de Apodaca,22,28004.0,Madrid,440670.0,4475422.0
3955,CS18895,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS18895,,,,,,,,,,,,,,Avda de Pablo Neruda 91 28018 Madrid,Avda,de Pablo Neruda,91,28018.0,Madrid,443792.0,4470275.0
3956,CS18898,Consulta de otros profesionales sanitarios,,,,,,,,,CS18898,,,,,,,,,,,,,,Calle de Rosa Pardo 2 28830 San Fernando de Henares,Calle,de Rosa Pardo,2,28830.0,San Fernando de Henares,455130.0,4475101.0
3957,CS18899,Centro Polivalente,,,,,,,,,,,,,,,,,,CS18899,,,,,Calle de Josefa Valcárcel 8 28027 Madrid,Calle,de Josefa Valcárcel,8,28027.0,Madrid,445012.0,4477683.0
3958,CS18902,Centro Polivalente,,,,,,,,,,CS18902,,,,,,CS18902,,,,,,,Calle de María de las Mercedes de Borbón 178 28055 Madrid,Calle,de María de las Mercedes de Borbón,178,28055.0,Madrid,447676.0,4482676.0
3959,CS18903,Consulta de otros profesionales sanitarios,,,,,,,,,CS18903,,,,,,,,,,,,,,Plaza de Manuel Becerra 18 28028 Madrid,Plaza,de Manuel Becerra,18,28028.0,Madrid,443246.0,4475415.0
3960,CS18909,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,CS18909,,,,,,,,,,CS18909,,,,Calle de Antonio Zapata 3 28002 Madrid,Calle,de Antonio Zapata,3,28002.0,Madrid,443097.0,4477458.0
3961,CS18911,Consulta de otros profesionales sanitarios,,,,,,,,,CS18911,,,,,,,,,,,,,,Plaza de la Puerta del Sol 4 28013 Madrid,Plaza,de la Puerta del Sol,4,28013.0,Madrid,440387.0,4474236.0
3962,CS18912,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS18912,,CS18912,CS18912,,,,,,,,,,,,,Avda del Mayorazgo 14 28051 Madrid,Avda,del Mayorazgo,14,28051.0,Madrid,446218.0,4469071.0
3963,CS18915,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,CS18915,,,,,,,,,,,,,,Calle de Agustín de Foxá S/N 28036 Madrid,Calle,de Agustín de Foxá,S/N,28036.0,Madrid,441772.0,4480003.0
3964,CS18916,Consulta de otros profesionales sanitarios,,,,,,,,,CS18916,,,,,,,,,,,,,,Plaza de José Celestino Mutis 20 28522 Rivas-Vaciamadrid,Plaza,de José Celestino Mutis,20,28522.0,Rivas-Vaciamadrid,454942.0,4467250.0
3965,CS18917,Consulta de otros profesionales sanitarios,,,,,,,,,CS18917,,,,,,,,,,,,,,Calle de Fermín Caballero 36 28034 Madrid,Calle,de Fermín Caballero,36,28034.0,Madrid,440325.0,4481859.0
3966,CS18919,Otros centros especializados,,,,,,,CS18919,,,,,,,,,,,,,,,,Avda de la Unión Europea 49 28939 Arroyomolinos,Avda,de la Unión Europea,49,28939.0,Arroyomolinos,421931.0,4459615.0
3967,CS18920,Otros centros especializados,,,,,,,,,,,,,,,,,,CS18920,,,,,Calle de la Reina Mercedes 22 28020 Madrid,Calle,de la Reina Mercedes,22,28020.0,Madrid,440896.0,4478027.0
3968,CS18925,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,CS18925,,,,,,,,,,,,,,Avda de Machupichu 59 28043 Madrid,Avda,de Machupichu,59,28043.0,Madrid,446578.0,4479048.0
3969,CS18926,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,,,CS18926,,,,,,Calle de Gaztambide 61 28015 Madrid,Calle,de Gaztambide,61,28015.0,Madrid,439315.0,4476506.0
3970,CS18928,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,,,CS18928,,,,,,Calle Gran Vía 57 28013 Madrid,Calle,Gran Vía,57,28013.0,Madrid,439883.0,4474809.0
