Column,centro_nro_registro,centro_tipo,alergologia,cardiologia,cirugia_mayor_ambulatoria,cirugia_menor_ambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicina_general,neumologia,neurologia,nutricion_y_dietetica,oncologia,otorrinolaringologia,pediatria,psicologia_clinica,psiquiatria,rehabilitacion,urgencias,vacunacion,direccion_completa,direccion_vial_tipo,direccion_vial_nombre,direccion_vial_nro,direccion_codigo_postal,municipio_nombre,localizacion_coordenada_x,localizacion_coordenada_y
3252,CS17437,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle del Escorial 3 28600 Navalcarnero,Calle,del Escorial,3,28600,Navalcarnero,413671,"4460149"
3253,CS17441,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Garcilaso 8 28904 Getafe,Calle,Garcilaso,8,28904,Getafe,437403,"4462198"
3254,CS17443,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle del General Díaz Porlier 40 28001 Madrid,Calle,del General Díaz Porlier,40,28001,Madrid,442592,"4475537"
3255,CS17446,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,fisioterapia,,,,,,,,,,,,,Avda del Parque de Palomeras Bajas 19 28018 Madrid,Avda,del Parque de Palomeras Bajas,19,28018,Madrid,443956,"4470180"
3256,CS17447,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Peñuelas 13 28005 Madrid,Calle,de Peñuelas,13,28005,Madrid,440249,"4472787"
3257,CS17448,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Ronda del Caballero de la Mancha 67 28034 Madrid,Ronda,del Caballero de la Mancha,67,28034,Madrid,441372,"4483640"
3258,CS17449,Servicio sanitario integrado en una organización no sanitaria,,,,,,,enfermeria,,,,,,,,,,,,,,,Calle de Ángel Muñoz 5 28043 Madrid,Calle,de Ángel Muñoz,5,28043,Madrid,444317,"4478376"
3259,CS17450,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de la Cruz del Sur 7 28007 Madrid,Calle,de la Cruz del Sur,7,28007,Madrid,443293,"4473571"
3260,CS17451,Consulta médica,,,,cirugiamenorambulatoria,,,,,,,,,,,,,,,,,,Avda Mariano Moreno El Músico 12 28907 Getafe,Avda,Mariano Moreno El Músico,12,28907,Getafe,437713,"4464352"
3261,CS17452,Consulta médica,,,,,,endocrinologia,,,,,,,,,,,,,,,,"Calle Encinar 41 28290 Rozas de Madrid, Las",Calle,Encinar,41,28290,"Rozas de Madrid, Las",423230,"4490102"
3262,CS17456,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Santa Engracia 118 28003 Madrid,Calle,de Santa Engracia,118,28003,Madrid,440569,"4476852"
3263,CS17461,Otros centros especializados,,,,,,,,,,,,,,,,,psicologiaclinica,psiquiatria,,,,Calle del Príncipe de Vergara 80 28006 Madrid,Calle,del Príncipe de Vergara,80,28006,Madrid,442403,"4476292"
3264,CS17462,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle del Doctor Castelo 41 28009 Madrid,Calle,del Doctor Castelo,41,28009,Madrid,442816,"4474634"
3265,CS17463,Servicio sanitario integrado en una organización no sanitaria,,,,,,,enfermeria,,,,,,,,,,,,,,,Paseo de Santa María de la Cabeza 115 28026 Madrid,Paseo,de Santa María de la Cabeza,115,28026,Madrid,439754,"4471327"
3266,CS17465,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,fisioterapia,medicinageneral,,,,,,,,,,,,Calle de Blasco de Garay 19 28015 Madrid,Calle,de Blasco de Garay,19,28015,Madrid,439626,"4475965"
3267,CS17467,Centro de reconocimiento,,,,,,,,,,medicinageneral,,,,,,,,,,,,Avda del Infante Don Luis 14 28660 Boadilla del Monte,Avda,del Infante Don Luis,14,28660,Boadilla del Monte,423871,"4472996"
3268,CS17469,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Jorge Juan 91 28009 Madrid,Calle,de Jorge Juan,91,28009,Madrid,442827,"4474968"
3269,CS17474,Otros centros especializados,,,,,,,,,,,,,,,,,,psiquiatria,,,,Calle de Viriato 20 28010 Madrid,Calle,de Viriato,20,28010,Madrid,440498,"4476367"
3270,CS17476,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Geranio 5 28939 Arroyomolinos,Calle,Geranio,5,28939,Arroyomolinos,422337,"4458000"
3271,CS17479,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Avda del Ensanche de Vallecas 73 28051 Madrid,Avda,del Ensanche de Vallecas,73,28051,Madrid,449266,"4468238"
3272,CS17480,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Eduardo Galeano 6 28521 Rivas-Vaciamadrid,Calle,Eduardo Galeano,6,28521,Rivas-Vaciamadrid,455681,"4465962"
3273,CS17482,Consulta médica,,,,,,,,,,medicinageneral,,,,,,,,,,,,Avda de Ramón y Cajal 5 28016 Madrid,Avda,de Ramón y Cajal,5,28016,Madrid,442609,"4478140"
3274,CS17483,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Sebastián Herrera 15 28012 Madrid,Calle,de Sebastián Herrera,15,28012,Madrid,440647,"4472832"
3275,CS17484,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Yugoslavia 1 28916 Leganés,Calle,Yugoslavia,1,28916,Leganés,437198,"4465245"
3276,CS17486,Servicio sanitario integrado en una organización no sanitaria,,,,,,,enfermeria,,,,,,,,,,,,,,,Calle de Juan Bravo 13 28006 Madrid,Calle,de Juan Bravo,13,28006,Madrid,442099,"4476056"
3277,CS17487,Servicio sanitario integrado en una organización no sanitaria,,,,,,,enfermeria,,fisioterapia,medicinageneral,,,,,,,,,,,,Calle de Acuario 27 28042 Madrid,Calle,de Acuario,27,28042,Madrid,450863,"4480616"
3278,CS17488,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Eguilaz 9 28010 Madrid,Calle,de Eguilaz,9,28010,Madrid,440566,"4475650"
3279,CS17490,Servicio sanitario integrado en una organización no sanitaria,,,,,,,enfermeria,,,,,,,,,,,,,,vacunacion,Calle de Albasanz 16 28037 Madrid,Calle,de Albasanz,16,28037,Madrid,446482,"4476351"
3280,CS17492,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Uruguay 21 28016 Madrid,Calle,de Uruguay,21,28016,Madrid,442926,"4478511"
3281,CS17493,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de la Corredera Alta 22 28680 San Martín de Valdeiglesias,Calle,de la Corredera Alta,22,28680,San Martín de Valdeiglesias,380990,"4468777"
3282,CS17498,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Manuel de Falla 48 28100 Alcobendas,Calle,de Manuel de Falla,48,28100,Alcobendas,445539,"4489229"
3283,CS17499,Servicio sanitario integrado en una organización no sanitaria,,,,,,,enfermeria,,,,,,,,,,,psiquiatria,,,,Calle Almenara 36 28294 Robledo de Chavela,Calle,Almenara,36,28294,Robledo de Chavela,393633,"4485284"
3284,CS1750,Otros centros especializados,,,,,,,enfermeria,,,medicinageneral,,,,,,,,,,,,Calle Manuel Cobo Calleja 22 28947 Fuenlabrada,Calle,Manuel Cobo Calleja,22,28947,Fuenlabrada,436578,"4457346"
3285,CS17500,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Herrador 11 28250 Torrelodones,Calle,Herrador,11,28250,Torrelodones,419390,"4491841"
3286,CS17501,Servicio sanitario integrado en una organización no sanitaria,,,,,,,enfermeria,,,,,,,,,,,psiquiatria,,,,Avda de los Alpes 101 28294 Robledo de Chavela,Avda,de los Alpes,101,28294,Robledo de Chavela,393465,"4485855"
3287,CS17502,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Blasco de Garay 37 28015 Madrid,Calle,de Blasco de Garay,37,28015,Madrid,439645,"4476235"
3288,CS17504,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Gutiérrez Solana 3 28036 Madrid,Calle,de Gutiérrez Solana,3,28036,Madrid,441648,"4478021"
3289,CS17505,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Carabaña 8 28806 Alcalá de Henares,Calle,Carabaña,8,28806,Alcalá de Henares,469250,"4482345"
3290,CS17508,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Ramón Areces 12 28030 Madrid,Calle,de Ramón Areces,12,28030,Madrid,443820,"4473482"
3291,CS17509,Servicio sanitario integrado en una organización no sanitaria,,,,,,,enfermeria,,fisioterapia,medicinageneral,,,,,,,,,,,,Calle de San Luciano 8 28041 Madrid,Calle,de San Luciano,8,28041,Madrid,440748,"4468157"
3292,CS17510,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Groenlandia 4 28909 Getafe,Calle,de Groenlandia,4,28909,Getafe,443755,"4463904"
3293,CS17511,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Francisco Umbral 6 28220 Majadahonda,Calle,Francisco Umbral,6,28220,Majadahonda,426303,"4479992"
3294,CS17515,Servicio sanitario integrado en una organización no sanitaria,,,,,,,enfermeria,,fisioterapia,,,,,,,,,,,,,Calle de la Ribera del Loira 4 28042 Madrid,Calle,de la Ribera del Loira,4,28042,Madrid,446903,"4479924"
3295,CS17516,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Alicante 2 28914 Leganés,Calle,de Alicante,2,28914,Leganés,436077,"4463381"
3296,CS17518,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle de Víctor de la Serna 6 28016 Madrid,Calle,de Víctor de la Serna,6,28016,Madrid,442946,"4478219"
3297,CS17519,Otros centros especializados,,,,cirugiamenorambulatoria,dermatologia,,,,,,,,,,,,,,,,,Calle Nebrija 5 28801 Alcalá de Henares,Calle,Nebrija,5,28801,Alcalá de Henares,469161,"4481585"
3298,CS17522,Servicio sanitario integrado en una organización no sanitaria,,,,,,,enfermeria,,fisioterapia,,,,,,,,,,,,,Calle de Santa Brígida 12 28004 Madrid,Calle,de Santa Brígida,12,28004,Madrid,440708,"4475098"
3299,CS17523,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle del Profesor Waksman 3 28036 Madrid,Calle,del Profesor Waksman,3,28036,Madrid,441562,"4478633"
3300,CS17524,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,,,psicologiaclinica,,,,,Calle de Arturo Soria 331 28033 Madrid,Calle,de Arturo Soria,331,28033,Madrid,443419,"4481316"
3301,CS17529,Servicio sanitario integrado en una organización no sanitaria,,,,,,,enfermeria,,,,,,,,,,,,,,,Trva de Costa Brava 3 28034 Madrid,Trva,de Costa Brava,3,28034,Madrid,440672,"4482960"
3302,CS17531,Servicio sanitario integrado en una organización no sanitaria,,,,,,,enfermeria,,,,,,,,,,,,,,,Avda de Niceto Alcalá Zamora 43 28050 Madrid,Avda,de Niceto Alcalá Zamora,43,28050,Madrid,444830,"4482910"
3303,CS17534,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Doñana 2 28924 Alcorcón,Calle,Doñana,2,28924,Alcorcón,431278,"4466378"
3304,CS17535,Otros centros especializados,,,,,,,,,,,,,,,,,psicologiaclinica,psiquiatria,,,,Calle Puerto de los Leones 2 28220 Majadahonda,Calle,Puerto de los Leones,2,28220,Majadahonda,425811,"4480862"
3305,CS17539,Servicio sanitario integrado en una organización no sanitaria,,,,,,,enfermeria,,fisioterapia,,,,,,,,,,,,,Plaza de La Remonta 12 28039 Madrid,Plaza,de La Remonta,12,28039,Madrid,440844,"4479432"
3306,CS17544,Otros centros especializados,,,,cirugiamenorambulatoria,dermatologia,,,,,medicinageneral,,neurologia,,,,,,,,,,Calle de José Abascal 36 28003 Madrid,Calle,de José Abascal,36,28003,Madrid,441006,"4476615"
3307,CS17548,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de la Isla de Arosa 29 28035 Madrid,Calle,de la Isla de Arosa,29,28035,Madrid,439271,"4481347"
3309,CS17550,Centro Polivalente,,,,,,,,,fisioterapia,medicinageneral,,,,,,,,,,,,Avda de Valdemarín 165 28023 Madrid,Avda,de Valdemarín,165,28023,Madrid,432744,"4479936"
3310,CS17551,Consulta médica,,,,cirugiamenorambulatoria,,,,,,,,,,,,,,,,,,Calle de Bárbara de Braganza 14 28004 Madrid,Calle,de Bárbara de Braganza,14,28004,Madrid,441270,"4474965"
3311,CS17552,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Jerte 3 28005 Madrid,Calle,de Jerte,3,28005,Madrid,439302,"4473608"
3312,CS17553,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,enfermeria,,,,,,,,,,,,,,,Calle Joan Miró 7 28342 Valdemoro,Calle,Joan Miró,7,28342,Valdemoro,441708,"4450180"
3313,CS17554,Centro Polivalente,,,,,,,,,fisioterapia,medicinageneral,,,,,,,,,,,,Calle de Padilla 42 28006 Madrid,Calle,de Padilla,42,28006,Madrid,442311,"4475849"
3314,CS17557,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Avda Sierra de Gredos 11 28691 Villanueva de la Cañada,Avda,Sierra de Gredos,11,28691,Villanueva de la Cañada,414781,"4476987"
3315,CS17558,Servicio sanitario integrado en una organización no sanitaria,,,,,,,enfermeria,,fisioterapia,,,,,,,,,,,,,Calle de Javier del Quinto 12 28043 Madrid,Calle,de Javier del Quinto,12,28043,Madrid,445585,"4479753"
3316,CS17559,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Gabriel Celaya 6 28830 San Fernando de Henares,Calle,Gabriel Celaya,6,28830,San Fernando de Henares,454777,"4474713"
3317,CS17561,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Alfredo Marquerie 5 28034 Madrid,Calle,de Alfredo Marquerie,5,28034,Madrid,440887,"4481924"
3318,CS17564,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Clara del Rey 11 28002 Madrid,Calle,de Clara del Rey,11,28002,Madrid,442923,"4476893"
3319,CS17565,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Méjico 30 28918 Leganés,Calle,Méjico,30,28918,Leganés,434673,"4466014"
3320,CS17567,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,enfermeria,,,,,,,,,,,,,,,Calle del Corregidor Alonso de Tobar 12 28030 Madrid,Calle,del Corregidor Alonso de Tobar,12,28030,Madrid,444982,"4472742"
3321,CS17569,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Roma 27 28610 Villamanta,Calle,Roma,27,28610,Villamanta,405739,"4461520"
3322,CS17570,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Núñez de Balboa 4 28001 Madrid,Calle,de Núñez de Balboa,4,28001,Madrid,442067,"4474827"
3323,CS17571,Servicio sanitario integrado en una organización no sanitaria,,,,,,,enfermeria,,fisioterapia,medicinageneral,,,,,,,,,,,,Calle de Bahía de Pollensa 25 28042 Madrid,Calle,de Bahía de Pollensa,25,28042,Madrid,449827,"4479528"
3324,CS17572,Servicio sanitario integrado en una organización no sanitaria,,,,,,,enfermeria,,fisioterapia,medicinageneral,,neurologia,,,,,,psiquiatria,rehabilitacion,,,Calle Don José María López Malla 3 28600 Navalcarnero,Calle,Don José María López Malla,3,28600,Navalcarnero,414520,"4459952"
3325,CS17576,Servicio sanitario integrado en una organización no sanitaria,,,,,,,enfermeria,,fisioterapia,,,,,,,,,,,,,Calle del Arroyo Belincoso 13 28030 Madrid,Calle,del Arroyo Belincoso,13,28030,Madrid,444607,"4473467"
3326,CS17583,Consulta médica,,,,,dermatologia,,,,,,,,,,,,,,,,,Calle Estafeta 8 28109 Alcobendas,Calle,Estafeta,8,28109,Alcobendas,444826,"4485035"
3327,CS17584,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle del General Díaz Porlier 1 28001 Madrid,Calle,del General Díaz Porlier,1,28001,Madrid,442536,"4475075"
3328,CS17585,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,fisioterapia,,,,,,,,,,,,,Avda del Guadalix 33 28120 Algete,Avda,del Guadalix,33,28120,Algete,450744,"4497601"
3329,CS17586,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Alegría de Oria 51 28027 Madrid,Calle,de Alegría de Oria,51,28027,Madrid,446220,"4477339"
3330,CS17587,Servicio sanitario integrado en una organización no sanitaria,,,,,,,enfermeria,,,,,,,,,,,,,,,Calle de Benito Pérez Galdós 13 28935 Móstoles,Calle,de Benito Pérez Galdós,13,28935,Móstoles,425383,"4463947"
3331,CS17588,Consulta médica,,,,,,,,,,,,,,,,,,psiquiatria,,,,Calle del Príncipe de Vergara 262 28016 Madrid,Calle,del Príncipe de Vergara,262,28016,Madrid,442624,"4478682"
3332,CS17590,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Velázquez 6 28821 Coslada,Calle,de Velázquez,6,28821,Coslada,452105,"4474860"
3333,CS17591,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,fisioterapia,,,,,,,,,,,,,Avda de los Príncipes de España 12 28823 Coslada,Avda,de los Príncipes de España,12,28823,Coslada,453379,"4475204"
3334,CS17592,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Marcelino Roa Vázquez 8 28017 Madrid,Calle,de Marcelino Roa Vázquez,8,28017,Madrid,445384,"4475360"
3335,CS17593,Consulta médica,,,,cirugiamenorambulatoria,,,enfermeria,,,,,,,,,,,,,,,Calle del Moscatelar 9 28043 Madrid,Calle,del Moscatelar,9,28043,Madrid,444943,"4478717"
3336,CS17594,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,fisioterapia,medicinageneral,,,,,,,,,,,,Calle de Sánchez Barcaiztegui 23 28007 Madrid,Calle,de Sánchez Barcaiztegui,23,28007,Madrid,442764,"4472855"
3337,CS17595,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,fisioterapia,,,,,,,,,,,,,Avda de Madrid 72 28500 Arganda del Rey,Avda,de Madrid,72,28500,Arganda del Rey,460429,"4461933"
3338,CS17597,Centro Polivalente,,,,cirugiamenorambulatoria,dermatologia,,,,fisioterapia,,,,,,otorrinolaringologia,,,,,,,Calle del Cardenal Cisneros 65 28010 Madrid,Calle,del Cardenal Cisneros,65,28010,Madrid,440380,"4476215"
3339,CS17600,Centro Polivalente,,,,,dermatologia,,,,,medicinageneral,,,,,,,,,,,,Calle de Hermosilla 39 28001 Madrid,Calle,de Hermosilla,39,28001,Madrid,442034,"4475311"
3340,CS17604,Centro de salud mental,,,,,,,enfermeria,,,,,,,,,,psicologiaclinica,psiquiatria,,,,Calle Memorial 11 de marzo de 2004 1 28016 Madrid,Calle,Memorial 11 de marzo de 2004,1,28016,Madrid,442619,"4479910"
3341,CS17607,Servicio sanitario integrado en una organización no sanitaria,,,,,,,enfermeria,,fisioterapia,,,,,,,,,,,,,Avda de Orcasur 60 28041 Madrid,Avda,de Orcasur,60,28041,Madrid,440579,"4468848"
3342,CS17608,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Valdeamor 72 28110 Algete,Calle,de Valdeamor,72,28110,Algete,457565,"4494400"
3343,CS17609,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,enfermeria,,,,,,,,,,,,,,,Calle de Guzmán el Bueno 70 28015 Madrid,Calle,de Guzmán el Bueno,70,28015,Madrid,439547,"4476649"
3344,CS1761,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Velero 19 28042 Madrid,Calle,de Velero,19,28042,Madrid,449683,"4478241"
3346,CS17614,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle de Emilio Vargas 4 28043 Madrid,Calle,de Emilio Vargas,4,28043,Madrid,444432,"4477611"
3347,CS17618,Centro Polivalente,,,,,,,,,,medicinageneral,,,,,,,,psiquiatria,,,,Avda Juan Carlos I 13 28806 Alcalá de Henares,Avda,Juan Carlos I,13,28806,Alcalá de Henares,466440,"4481315"
3348,CS17622,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle del Río Genil 60 28770 Colmenar Viejo,Calle,del Río Genil,60,28770,Colmenar Viejo,434222,"4501567"
3349,CS17623,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle del Concejal Victorino Granizo 77 28052 Madrid,Calle,del Concejal Victorino Granizo,77,28052,Madrid,452266,"4472472"
3350,CS17624,Centro Polivalente,,,,cirugiamenorambulatoria,,,,,fisioterapia,medicinageneral,,,,,,,,,,,,Calle de Santa Engracia 47 28010 Madrid,Calle,de Santa Engracia,47,28010,Madrid,440786,"4476057"
3351,CS17626,Servicio sanitario integrado en una organización no sanitaria,,,,,,,enfermeria,,,medicinageneral,,,,,,,,,,,,Calle de la Condesa de Venadito 9 28027 Madrid,Calle,de la Condesa de Venadito,9,28027,Madrid,444678,"4477406"
3352,CS17629,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Psaje del Doctor Esquerdo 4 28028 Madrid,Psaje,del Doctor Esquerdo,4,28028,Madrid,443263,"4475289"
3353,CS17630,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Escosura 15 28015 Madrid,Calle,de Escosura,15,28015,Madrid,440037,"4476313"
3354,CS17631,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle Jacinto Benavente 15 28609 Sevilla la Nueva,Calle,Jacinto Benavente,15,28609,Sevilla la Nueva,412674,"4466478"
3355,CS17632,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,,,psicologiaclinica,,,,,Calle del General Pardiñas 46 28001 Madrid,Calle,del General Pardiñas,46,28001,Madrid,442469,"4475492"
3356,CS17633,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,,medicinageneral,,,,,,,,,,,,Paseo de la Castellana 77 28046 Madrid,Paseo,de la Castellana,77,28046,Madrid,441270,"4477734"
3357,CS17634,Servicio sanitario integrado en una organización no sanitaria,,,,,,,enfermeria,,fisioterapia,,,,,,,,,,,,,Calle de Romero Robledo 27 28008 Madrid,Calle,de Romero Robledo,27,28008,Madrid,438666,"4475818"
3358,CS17635,Consulta médica,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle de Ginzo de Limia 51 28034 Madrid,Calle,de Ginzo de Limia,51,28034,Madrid,439957,"4481777"
3359,CS17639,Centro Polivalente,,,,,dermatologia,,enfermeria,,fisioterapia,medicinageneral,,,,,,pediatria,,,,,,Calle Julio Rey Pastor 6 28702 San Sebastián de los Reyes,Calle,Julio Rey Pastor,6,28702,San Sebastián de los Reyes,448360,"4490697"
3360,CS17640,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle del Marqués del Riscal 11 28010 Madrid,Calle,del Marqués del Riscal,11,28010,Madrid,441436,"4475794"
3361,CS17642,Centro de diagnóstico,,,,,,,enfermeria,,,,,,,,,,,,,,,Paseo del Pintor Rosales 12 28008 Madrid,Paseo,del Pintor Rosales,12,28008,Madrid,439078,"4475253"
3362,CS17645,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Alverja 5 28011 Madrid,Calle,de Alverja,5,28011,Madrid,436022,"4472736"
3363,CS17646,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Monteleón 25 28010 Madrid,Calle,de Monteleón,25,28010,Madrid,440225,"4475717"
3364,CS17648,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle del Jardín de la Duquesa 6 28032 Madrid,Calle,del Jardín de la Duquesa,6,28032,Madrid,448678,"4472628"
3365,CS17651,Centro Polivalente,,,,,,endocrinologia,,,,medicinageneral,,,,,,,,,,,,Calle de Velázquez 14 28001 Madrid,Calle,de Velázquez,14,28001,Madrid,441966,"4474924"
3366,CS17653,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Paseo de las Acacias 50 28005 Madrid,Paseo,de las Acacias,50,28005,Madrid,439565,"4472625"
3367,CS17658,Consulta médica,,,,,,,,,fisioterapia,medicinageneral,,,,,,,,,,,,Calle de Corazón de María 78 28002 Madrid,Calle,de Corazón de María,78,28002,Madrid,443527,"4477680"
3368,CS17667,Centro Polivalente,,,,cirugiamenorambulatoria,dermatologia,,enfermeria,,,medicinageneral,,,,,,,,,,,,Calle de Castelló 41 28001 Madrid,Calle,de Castelló,41,28001,Madrid,442184,"4475310"
3369,CS17668,Otros centros especializados,,,,,,,,,fisioterapia,,,,,,,,,,rehabilitacion,,,Avda de la Mancha 25 28912 Leganés,Avda,de la Mancha,25,28912,Leganés,435515,"4464900"
3370,CS1767,Centro Polivalente,,,,,,endocrinologia,,,,medicinageneral,neumologia,,,,,,,,,,,Calle de Francos Rodríguez 102 28039 Madrid,Calle,de Francos Rodríguez,102,28039,Madrid,439572,"4478842"
3371,CS17672,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,fisioterapia,,,,,,,,,,,,,Avda de la Ermita 2 28108 Alcobendas,Avda,de la Ermita,2,28108,Alcobendas,446053,"4487461"
3373,CS17676,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,fisioterapia,,,,,,,,,,,,,Avda de la Gran Vía de Hortaleza 57 28043 Madrid,Avda,de la Gran Vía de Hortaleza,57,28043,Madrid,445231,"4479990"
3374,CS17678,Otros centros especializados,,,,,,,,,,,,,,,,,psicologiaclinica,psiquiatria,,,,Paseo de la Habana 23 28036 Madrid,Paseo,de la Habana,23,28036,Madrid,441739,"4478042"
3375,CS17680,Otros centros especializados,,,,,,,,,fisioterapia,medicinageneral,,,,,,,,,rehabilitacion,,,Calle de Madrid 18 28921 Alcorcón,Calle,de Madrid,18,28921,Alcorcón,429735,"4466883"
3376,CS17683,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Ramón y Cajal 5 28100 Alcobendas,Calle,de Ramón y Cajal,5,28100,Alcobendas,444716,"4488202"
